http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voiture,,,"'caisse'	'tacot'	'bagnole'","'voiture'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voiture_hybride,,,,"'voiture hybride'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voiture_électrique,,,,"'voiture électrique'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voyage,,,,"'voyage'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#véhicule,,,,"'véhicule'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#vélo,,,"'petite reine'	'bicyclette'	'VTT'	'vélo de route'	'vélocypède'	'VTC'","'vélo'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#électricité,,,,"'électricité'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#énergie,,,,"'énergie'",,,
http://www.w3.org/2002/07/owl#Thing,,,,,,,
urn:absolute:make-the-debat-great-again_transportO#autocar,,,"'car'","'autocar'",,,
urn:absolute:make-the-debat-great-again_transportO#chemin,,,,"'chemin'",,,
urn:absolute:make-the-debat-great-again_transportO#circuler,,,,"'circuler'",,,
urn:absolute:make-the-debat-great-again_transportO#cyclomoteur,,,"'deux roues'","'cyclomoteur'",,,
urn:absolute:make-the-debat-great-again_transportO#faire_les_courses,,,,,,,
urn:absolute:make-the-debat-great-again_transportO#fauteuil_roulant,,,,"'fauteuil roulant'",,,
urn:absolute:make-the-debat-great-again_transportO#ferroutage,,,,"'ferroutage'",,,
urn:absolute:make-the-debat-great-again_transportO#gaz_de_pétrole_liquéfié,,,"'GPL'","'gaz de pétrole liquéfié'",,,
urn:absolute:make-the-debat-great-again_transportO#hydrogène,,,,"'hydrogène'",,,
urn:absolute:make-the-debat-great-again_transportO#intercité,,,,"'intercité'",,,
urn:absolute:make-the-debat-great-again_transportO#mobylette,,,"'mob'","'mobylette'",,,
urn:absolute:make-the-debat-great-again_transportO#motard,,,,"'motard'",,,
urn:absolute:make-the-debat-great-again_transportO#motocyclette,,,"'moto'","'motocyclette'",,,
urn:absolute:make-the-debat-great-again_transportO#parking,,,"'stationnement'","'parking'",,,
urn:absolute:make-the-debat-great-again_transportO#parking_relais,,,,"'parking relais'",,,
urn:absolute:make-the-debat-great-again_transportO#parking_à_vélos,,,"'abri à vélos'","'parking à vélos'",,,
urn:absolute:make-the-debat-great-again_transportO#périphérique,,,"'périph'","'périphérique'",,,
urn:absolute:make-the-debat-great-again_transportO#rue_piétonne,,,,"'rue piétonne'",,,
urn:absolute:make-the-debat-great-again_transportO#scooter,,,,"'scooter'",,,
urn:absolute:make-the-debat-great-again_transportO#solex,,,,"'solex'",,,
urn:absolute:make-the-debat-great-again_transportO#train_corail,,,,"'train corail'",,,
urn:absolute:make-the-debat-great-again_transportO#trajet_personnel,,,"'déplacement personnel'","'trajet personnel'",,,
urn:absolute:make-the-debat-great-again_transportO#voiture_thermique,,,"'voiture essence'","'voiture thermique'",,,
urn:absolute:make-the-debat-great-again_transportO#vélo_électrique,,,"'VAE'	'vélo à assistance électrique'","'vélo électrique'",,,
